Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2021.0
I - TÀI SẢN NGẮN HẠN,,6936711543000.0,4606997000000.0,5382151000000.0,5912318174867.0,9289269212840.0,2111308942523.0,4424433008218.0,2554590419157.0,1783842005902.0,1258756415446.0,,,
1. Tiền và các khoản tương đương tiền,,679867797000.0,647783000000.0,1036309000000.0,452890418245.0,785200538621.0,545055676364.0,436741219472.0,321847589082.0,352889411169.0,563283466920.0,,,
2. Các khoản đầu tư tài chính ngắn hạn,,192958434000.0,193353000000.0,212596000000.0,135968237354.0,357544563179.0,92025760350.0,1555494479944.0,709745640343.0,589840392784.0,124872744619.0,,,
3. Các khoản phải thu ngắn hạn,,2894509376000.0,3757737000000.0,4112586000000.0,5283174717437.0,8115721703641.0,1426846227430.0,2425489786175.0,769739124747.0,788241393529.0,543931174651.0,,,
4. Hàng tồn kho,,194589000.0,104000000.0,87000000.0,151944467.0,127181420.0,205995500.0,121702400.0,1416532600.0,1416844210.0,1335910100.0,,,
5. Tài sản ngắn hạn khác,,3169181347000.0,8020000000.0,20573000000.0,40132857364.0,30675225979.0,47175282879.0,6585820227.0,751841532385.0,51453964210.0,25333119156.0,,,
II - TÀI SẢN DÀI HẠN,,311527991000.0,2527213000000.0,1974035000000.0,4717536781870.0,4879137395795.0,3982058513287.0,1499632215533.0,1267690719126.0,947965980166.0,983415387141.0,,,
1. Các khoản phải thu dài hạn,,4021755000.0,,,,,,,,,,,,
2. Tài sản cố định,,24346669000.0,9347000000.0,19668000000.0,10362942469.0,13894567789.0,19606991958.0,18347216178.0,11355685469.0,295610636863.0,294165165140.0,,,
3. Lợi thế thương mại,,,,,,,,,,,,,,
4. Bất động sản đầu tư,,,,,,,,,,,,,,
5. Các khoản đầu tư tài chính dài hạn,,306400000000.0,2515709000000.0,1950061000000.0,4623060963764.0,4754776141995.0,3862468938766.0,1342612971832.0,1094707775497.0,529445801714.0,542115232251.0,,,
6. Tài sản dài hạn khác,,908736000.0,2157000000.0,4306000000.0,84112875637.0,110466686011.0,99982582563.0,138672027523.0,161627258160.0,122909541589.0,147134989750.0,,,
Tổng cộng tài sản,,7248239534000.0,7134210000000.0,7356186000000.0,10629854956737.0,14168406608635.0,6093367455810.0,5924065223751.0,3822281138283.0,2731807986068.0,2242171802587.0,,,
I - NỢ PHẢI TRẢ,,7033346621000.0,6299038000000.0,6488433000000.0,9274785870989.0,11823825854330.0,3811490150740.0,3662702244640.0,1596562795665.0,466889061857.0,188108742589.0,,,
1. Nợ ngắn hạn,,5184471693000.0,6299038000000.0,4488433000000.0,7274672714380.0,9823624503309.0,1811218305682.0,3662335901843.0,1596562795665.0,285522400857.0,188108742589.0,,,
2. Nợ dài hạn,,1848874928000.0,,2000000000000.0,2000113156609.0,2000201351021.0,2000271845058.0,366342797.0,,181366661000.0,,,,
II - VỐN CHỦ SỞ HỮU,,214892913000.0,835172000000.0,867753000000.0,1355069085748.0,2344580754305.0,2281877305070.0,2261362979111.0,2225718342618.0,2264918924211.0,2054063059998.0,,,
1. Vốn chủ sở hữu,,150000000000.0,835172000000.0,867753000000.0,1354933964677.0,2344580754305.0,2281877305070.0,2261362979111.0,2225718342618.0,2264918924211.0,2054063059998.0,,,
2. Nguồn kinh phí và các quỹ khác,,544992000.0,,,135121071.0,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,,,,,,,,,,,,
Tổng cộng nguồn vốn,,7248239534000.0,7134210000000.0,7356186000000.0,10629854956737.0,14168406608635.0,6093367455810.0,5924065223751.0,3822281138283.0,2731807986068.0,2242171802587.0,,,
