Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2021.0
I. TÀI SẢN,,,,,,,,,,,,,,
1. Tiền mặt và các khoản tương đương tại quỹ,,,,2303873000000.0,2875773000000.0,3253384000000.0,3628604000000.0,3295068000000.0,3862664000000.0,5393484000000.0,6588849000000.0,7106546000000.0,8203016000000.0,12660583000000.0
2. Tiền gửi tại NHNN,,,,12620934000000.0,5679704000000.0,8109792000000.0,7240214000000.0,16380923000000.0,12834854000000.0,23097743000000.0,21718717000000.0,36710770000000.0,29418564000000.0,68851444000000.0
"3. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",,,,29619733000000.0,40197495000000.0,57788691000000.0,57580364000000.0,54317104000000.0,47656262000000.0,50062372000000.0,67260645000000.0,61865173000000.0,118355293000000.0,135940229000000.0
4. Cho vay khách hàng,,,,156870045000000.0,200999434000000.0,248898483000000.0,288079640000000.0,334009142000000.0,384889836000000.0,439070127000000.0,590917428000000.0,713633464000000.0,855535525000000.0,1325528925000000.0
5. Chứng khoán kinh doanh,,,,2025340000000.0,948629000000.0,1336207000000.0,1039502000000.0,4104905000000.0,1557984000000.0,8430766000000.0,8872709000000.0,10016115000000.0,9613772000000.0,6068913000000.0
6. Chứng khoán đầu tư,,,,31394906000000.0,31477251000000.0,31020304000000.0,31683520000000.0,48964824000000.0,68072438000000.0,91816995000000.0,121564774000000.0,144412972000000.0,146477353000000.0,177088795000000.0
7. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,3557000000.0,,32910000000.0,27212000000.0,,239872000000.0,,101882000000.0,,193703000000.0,192282000000.0
"8. Góp vốn, đầu tư dài hạn",,,,2753072000000.0,3228124000000.0,2497449000000.0,3676711000000.0,3851763000000.0,4392749000000.0,4782587000000.0,5250679000000.0,4329801000000.0,2579505000000.0,2847647000000.0
9. Tài sản cố định,,,,2008805000000.0,2304264000000.0,3496768000000.0,3640938000000.0,4228999000000.0,5201097000000.0,6672040000000.0,8535310000000.0,,10348520000000.0,10741232000000.0
10. Bất động sản đầu tư,,,,,,,,,,,,,,
11. Tài sản Có khác,,,,6894058000000.0,8721413000000.0,9833781000000.0,9158749000000.0,15631832000000.0,19678327000000.0,21014259000000.0,19858656000000.0,18607365000000.0,21558592000000.0,21775742000000.0
Tổng tài sản,,,,246494323000000.0,296432087000000.0,366267769000000.0,405755454000000.0,484784560000000.0,548386083000000.0,650340373000000.0,850669649000000.0,1006404150000000.0,1202283843000000.0,1761695792000000.0
II. NGUỒN VỐN,,,,,,,,,,,,44144249000000.0,,
1. Các khoản nợ Chính phủ và NHNN,,,,16985613000000.0,22931067000000.0,16665293000000.0,26799130000000.0,11429937000000.0,16495829000000.0,20120993000000.0,45401599000000.0,43392135000000.0,77535398000000.0,25340018000000.0
2. Tiền gửi và vay các TCTD khác,,,,8763812000000.0,14542802000000.0,28282279000000.0,35704900000000.0,39550179000000.0,47798567000000.0,86186209000000.0,79758318000000.0,33146730000000.0,91978862000000.0,98007392000000.0
3. Tiền gửi của khách hàng,,,,163396947000000.0,187280394000000.0,244700635000000.0,240507629000000.0,303059537000000.0,338902132000000.0,440471589000000.0,564583061000000.0,726021696000000.0,859985173000000.0,1380397799000000.0
4. Các công cụ tài chính phái sinh và nợ tài chính khác,,,,,202915000000.0,,,16319000000.0,,74760000000.0,,103320000000.0,,
"5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,15130369000000.0,28150952000000.0,36449572000000.0,64319292000000.0,65334064000000.0,67245421000000.0,35445267000000.0,35295248000000.0,11361960000000.0,11722727000000.0,14349996000000.0
6. Phát hành giấy tờ có giá,,,,17650692000000.0,16017821000000.0,7223089000000.0,4329848000000.0,28055821000000.0,33254353000000.0,20077031000000.0,65542240000000.0,66642041000000.0,83738429000000.0,123681757000000.0
7. Các khoản nợ khác,,,,11100790000000.0,9666806000000.0,8577744000000.0,9497236000000.0,10635271000000.0,12397216000000.0,14358325000000.0,17753723000000.0,22239527.0,28489244000000.0,33589804000000.0
Tổng nợ phải trả,,,,233028223000000.0,278792757000000.0,341898612000000.0,381158035000000.0,458081128000000.0,516093518000000.0,616734174000000.0,808334189000000.0,962259901000000.0,1153449833000000.0,1675366766000000.0
8. Vốn và các quỹ,,,,13466100000000.0,17639330000000.0,24219730000000.0,24390455000000.0,26494446000000.0,32039983000000.0,33271267000000.0,40949722000000.0,44144249000000.0,48834010000000.0,86329026000000.0
9. Lợi ích của cổ đông thiểu số,,,,,,149427000000.0,206964000000.0,208986000000.0,252582000000.0,334932000000.0,1385738000000.0,1603752000000.0,2872716000000.0,3193928000000.0
Tổng cộng nguồn vốn,,,,246494323000000.0,296432087000000.0,366267769000000.0,405755454000000.0,484784560000000.0,548386083000000.0,650340373000000.0,850669649000000.0,1006404150000000.0,1202283843000000.0,1761695792000000.0
Các khoản mục ghi nhớ,,,,,,,,,,,,,,
1. Thư tín dụng trả ngay,,,,,,,,,,,,,,
2. Thư tín dụng trả chậm,,,,,,,,,,,,,,
3. Bảo lãnh thanh toán,,,,,,,,,,,,,,
4. Bảo lãnh vay vốn,,,,,,,,,,,,,,
5. Bảo lãnh khác,,,,,,,,,,,,,,
6. Cam kết cho vay chưa giải ngân,,,,,,,,,,,,,,
