Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,,,,,,,,,459247344281.0,753516336401.0,,2074641514944.0,3485278922143.0,5473170382400.0,3511811585661.0,2504608922298.0,2564422795753.0,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,6423990709.0,40768091246.0,,121150408600.0,444097062786.0,358811289562.0,200976014220.0,228678131745.0,319051369169.0,,,
1. Tiền,,,,,,,,,6423990709.0,40768091246.0,,110150408600.0,257097062786.0,286311289562.0,148976014220.0,214278131745.0,201551369169.0,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,11000000000.0,187000000000.0,72500000000.0,52000000000.0,14400000000.0,117500000000.0,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,8010000000.0,58735000000.0,,510000000.0,359900000000.0,1163400000000.0,1023697936833.0,479697936833.0,580197936833.0,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,24400000.0,24400000.0,24400000.0,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,-14400000.0,-24400000.0,-24400000.0,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,-14400000.0,-14400000.0,,500000000.0,359900000000.0,1163400000000.0,1023697936833.0,479697936833.0,580197936833.0,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,108773057636.0,394550483262.0,,1326311209468.0,1386812938234.0,1563086862974.0,1013248643463.0,893550160861.0,847527942680.0,,,
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,49346296282.0,340196271243.0,,718843927327.0,833497445858.0,664194542486.0,625226319285.0,526899903076.0,676363801090.0,,,
2. Trả trước cho người bán ngắn hạn,,,,,,,,,32096686938.0,27963837690.0,,109074059150.0,175320001477.0,248454598838.0,173987494068.0,147626447294.0,163767868800.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,271800000000.0,163100000000.0,86900000000.0,179600000000.0,159750000000.0,,,,
6. Phải thu ngắn hạn khác,,,,,,,,,27330074416.0,26726944329.0,,226339985904.0,226434967687.0,586908739945.0,70034322456.0,93039754253.0,57252919081.0,,,
