Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,256196543237.0,715061647748.0,1678371811888.0,1773513275278.0,2076884631261.0,4083706309433.0,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,74223931073.0,61267919898.0,322785384428.0,167519548490.0,191286523740.0,122548870942.0,,,
1. Tiền,,,,,,,,,,,,74223931073.0,61267919898.0,322785384428.0,114579301900.0,45286523740.0,121476852554.0,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,52940246590.0,146000000000.0,1072018388.0,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,219999989852.0,1462567883188.0,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,219999989852.0,1462567883188.0,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,168258663808.0,648618996292.0,894504065731.0,1439223211461.0,1614999498995.0,1977094074896.0,,,
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,131972961969.0,367323161228.0,682721841425.0,813472253359.0,776787053350.0,583736128112.0,,,
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,15973228215.0,7251312310.0,11920898155.0,22028994890.0,148479254550.0,266047480201.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,154500000000.0,67956985782.0,103760700000.0,,,
6. Phải thu ngắn hạn khác,,,,,,,,,,,,25703473948.0,279435523078.0,207130628514.0,457118954873.0,629673196973.0,1078654978883.0,,,
7. Dự phòng phải thu ngắn hạn khó đòi,,,,,,,,,,,,-5391000324.0,-5391000324.0,-7269302363.0,-7896991661.0,-7896991660.0,-55105212300.0,,,
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho,,,,,,,,,,,,4687805620.0,4024549227.0,459866859977.0,141709747174.0,31839994113.0,501891740357.0,,,
1. Hàng tồn kho,,,,,,,,,,,,4687805620.0,4024549227.0,459866859977.0,141709747174.0,31839994113.0,501891740357.0,,,
