Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,,,,119269634984.0,111323910008.0,127220005172.0,130555249975.0,116632587127.0,102723741106.0,78490955258.0,,93628520556.0,83984495825.0,155791976482.0,127171082665.0,115474961140.0,137395371456.0,,,
I. Tiền và các khoản tương đương tiền,,,,2330627171.0,2879382101.0,744627977.0,2403501326.0,12006969717.0,6135450346.0,12424014096.0,,11770453307.0,4394548442.0,8718011399.0,2474744944.0,10411183628.0,5918499948.0,,,
1. Tiền,,,,2330627171.0,2879382101.0,744627977.0,2403501326.0,12006969717.0,6135450346.0,12424014096.0,,10970453307.0,4394548442.0,8718011399.0,2474744944.0,10411183628.0,5918499948.0,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,800000000.0,,,,,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,46662542802.0,43692336110.0,59428713361.0,90428108706.0,72899407058.0,65638881681.0,54144523404.0,,49584519752.0,66898138237.0,141387620936.0,121141379147.0,102328734476.0,126118281347.0,,,
1. Phải thu ngắn hạn của khách hàng,,,,,16055994787.0,38773099485.0,65674241672.0,49609715266.0,32395473860.0,36523222921.0,,32619872464.0,49582761458.0,60174949796.0,40685144291.0,37851302503.0,18539561211.0,,,
2. Trả trước cho người bán ngắn hạn,,,,,168964830.0,50298163.0,94182830.0,70182830.0,,,,89886930.0,50000000.0,,40000000.0,40000000.0,35000000.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,27343061425.0,20469212438.0,24518731080.0,22972679785.0,32605820029.0,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,
6. Phải thu ngắn hạn khác,,,,,124315068.0,136103275.0,140953124.0,246829177.0,637587792.0,17621300483.0,,16874760358.0,17265376779.0,81212671140.0,80416234856.0,64437431973.0,107543720136.0,,,
7. Dự phòng phải thu ngắn hạn khó đòi,,,,,,,,,,,,,,,,,,,,
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,,,,,,
