Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,46683220915.0,61140420951.0,86223146812.0,93429315571.0,122050428731.0,136597549550.0,154557829979.0,165878252996.0,198696000899.0,330291081811.0,,898455742195.0,1409848479830.0,2361096687094.0,2388905753802.0,3129321210460.0,4760222547773.0,,,
I. Tiền và các khoản tương đương tiền,1907982359.0,2489820883.0,2060370675.0,1297950042.0,2115216647.0,10361064826.0,13204470739.0,3924102287.0,7616394479.0,8709757845.0,,154838423715.0,307873206677.0,853483562746.0,234654430136.0,195259657019.0,450998668270.0,,,
1. Tiền,1907982359.0,2489820883.0,2060370675.0,1297950042.0,2115216647.0,10361064826.0,13204470739.0,3924102287.0,7616394479.0,8709757845.0,,132642385258.0,164659383658.0,441762710305.0,218654430136.0,88159679583.0,321511970430.0,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,22196038457.0,143213823019.0,411720852441.0,16000000000.0,107099977436.0,129486697840.0,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,9370000000.0,,19622200000.0,102904908165.0,261050497300.0,708368466793.0,1248416275175.0,282186955139.0,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,1399000000.0,64650000000.0,1000000000.0,,48257760000.0,37591090000.0,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,-231800000.0,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,18455000000.0,38254908165.0,260050497300.0,708368466793.0,1200158515175.0,244595865139.0,,,
III. Các khoản phải thu ngắn hạn,30407865931.0,39487030709.0,49925223326.0,62332088440.0,74193288560.0,81868861447.0,77057186892.0,85425491648.0,109726249017.0,206706077283.0,,385259763468.0,636129663319.0,765797953315.0,806471672200.0,1003664769263.0,2675134308174.0,,,
1. Phải thu ngắn hạn của khách hàng,29567434459.0,36738355583.0,45943496507.0,58029417183.0,66726613318.0,77339411407.0,73699661409.0,82205699733.0,95324265818.0,174847298934.0,,317193910698.0,340343097622.0,525420617122.0,665016236849.0,812842825543.0,1135008017821.0,,,
2. Trả trước cho người bán ngắn hạn,840431472.0,2748675126.0,3972460161.0,4065925035.0,9819942870.0,7272893340.0,5728346971.0,8325047716.0,14514342321.0,7991304348.0,,51460311880.0,278724673704.0,234929632426.0,117979203104.0,198848982542.0,187197445095.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,
