Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,2437298720880.0,2714421477382.0,3878860483746.0,3523316145250.0,3516984751427.0,4190004720980.0,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,350352719847.0,103747498151.0,371544949314.0,305151834284.0,452628280002.0,146498638651.0,,,
1. Tiền,,,,,,,,,,,,64352719847.0,53747498151.0,68544949314.0,288151834284.0,436628280002.0,146498638651.0,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,286000000000.0,50000000000.0,303000000000.0,17000000000.0,16000000000.0,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,10000000000.0,30700000000.0,14700000000.0,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,10000000000.0,30700000000.0,14700000000.0,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,1898876234387.0,2385940817683.0,3253970171959.0,2926314963653.0,2672251595554.0,3542322105470.0,,,
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,1832575830816.0,2277995125129.0,3226054518956.0,2878045470171.0,2622176180243.0,3517563549527.0,,,
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,17549288486.0,87144290497.0,2775742020.0,4761907270.0,14369474827.0,8396729926.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,226114905.0,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,,,,,,
6. Phải thu ngắn hạn khác,,,,,,,,,,,,53980161995.0,26105436708.0,25322056143.0,43658522868.0,35979218665.0,16878031550.0,,,
7. Dự phòng phải thu ngắn hạn khó đòi,,,,,,,,,,,,-5229046910.0,-5538720651.0,-605827977.0,-555969473.0,-499393086.0,-516205533.0,,,
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,234686000.0,423682817.0,405032817.0,,,,,
IV. Hàng tồn kho,,,,,,,,,,,,115105356004.0,122640280310.0,177710613027.0,202104176570.0,286116394678.0,347470138608.0,,,
1. Hàng tồn kho,,,,,,,,,,,,115427528420.0,122962104258.0,178032436975.0,202140032008.0,286322318967.0,347676062897.0,,,
