Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,,,,8339472703054.0,10525322342199.0,14505135519882.0,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,,,,350802374807.0,1146330868926.0,1632448195489.0,,,
1. Tiền,,,,,,,,,,,,,,,178682374807.0,382939049912.0,437110360915.0,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,,,,172120000000.0,763391819014.0,1195337834574.0,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,98309415870.0,110454093506.0,155698377187.0,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,98309415870.0,110454093506.0,155698377187.0,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,,,,6674077728785.0,7428475712639.0,10560211663530.0,,,
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,,,,1640225171775.0,1496825773902.0,1731408201846.0,,,
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,,,,323929836621.0,470419107683.0,801904891611.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,,,,180854964715.0,673700000.0,40980182201.0,,,
6. Phải thu ngắn hạn khác,,,,,,,,,,,,,,,4545562741347.0,5556544414561.0,8338848906777.0,,,
7. Dự phòng phải thu ngắn hạn khó đòi,,,,,,,,,,,,,,,-16494985673.0,-95987283507.0,-352930518905.0,,,
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,,,,,,
IV. Hàng tồn kho,,,,,,,,,,,,,,,1143945808407.0,1699033682183.0,1985890286482.0,,,
1. Hàng tồn kho,,,,,,,,,,,,,,,1143945808407.0,1699033682183.0,1985890286482.0,,,
2. Dự phòng giảm giá hàng tồn kho,,,,,,,,,,,,,,,,,,,,
V.Tài sản ngắn hạn khác,,,,,,,,,,,,,,,72337375185.0,141027984945.0,170886997194.0,,,
1. Chi phí trả trước ngắn hạn,,,,,,,,,,,,,,,66709612743.0,131151288214.0,155752866025.0,,,
