Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,14945189982745.0,,18414073592145.0,21069822994274.0,22166796521089.0,22769352069241.0,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,6034334324181.0,,5159740351097.0,7114787951797.0,5528283614830.0,5303619340768.0,,,
1. Tiền,,,,,,,,,,,,1764649847269.0,,1707187728054.0,1916171041135.0,2082342025835.0,2340811387448.0,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,4269684476912.0,,3452552623043.0,5198616910662.0,3445941588995.0,2962807953320.0,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,2699251366218.0,,5474765970508.0,6559664408592.0,10764750681992.0,10279304670167.0,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,164208979797.0,,11842666760.0,6759422760.0,1163634161.0,1163634161.0,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,-139629752144.0,,-7826777990.0,-4381510199.0,-68237000.0,-68237000.0,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,2674672138565.0,,5470750081738.0,6557286496031.0,10763655284831.0,10278209273006.0,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,2895968747840.0,,3525375686972.0,2899977060662.0,2949233801252.0,2849079360558.0,,,
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,1282781294005.0,,1758682023184.0,1391093153849.0,1285708497811.0,1305815350535.0,,,
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,770218413329.0,,552428573508.0,545927639989.0,525474388619.0,510863626115.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,618671654512.0,,12793119133.0,10546458059.0,10547546310.0,10520019690.0,,,
6. Phải thu ngắn hạn khác,,,,,,,,,,,,963837080847.0,,1334270887068.0,1139829802973.0,1301039490409.0,1185333501814.0,,,
7. Dự phòng phải thu ngắn hạn khó đòi,,,,,,,,,,,,-760270350756.0,,-154140335614.0,-208044668910.0,-236775894710.0,-196187968095.0,,,
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,20730655903.0,,21341419693.0,20624674702.0,63239772813.0,32734830499.0,,,
