Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,,,106482508706.0,244135208308.0,302194365863.0,501008196989.0,492234474919.0,470705298903.0,371285265142.0,381797508988.0,,1508042215781.0,1901725464335.0,1954360475632.0,1115686708650.0,1099314963539.0,1101671548724.0,,,
I. Tiền và các khoản tương đương tiền,,,2033836965.0,2099778840.0,26678762306.0,77016787717.0,23119604136.0,8468080636.0,15427833513.0,5604966296.0,,38743071696.0,96387380638.0,167428715233.0,15663124909.0,65986237029.0,19180922127.0,,,
1. Tiền,,,,2099778840.0,1656352523.0,4716787717.0,1619604136.0,1128080636.0,15296793513.0,2841151815.0,,38743071696.0,40524674513.0,25749791123.0,11558572516.0,11881684636.0,19180922127.0,,,
2. Các khoản tương đương tiền,,,,,25022409783.0,72300000000.0,21500000000.0,7340000000.0,131040000.0,2763814481.0,,,55862706125.0,141678924110.0,4104552393.0,54104552393.0,,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,14149600000.0,13390357755.0,61049757885.0,40694108046.0,45041939494.0,22180187910.0,24947500966.0,,5650415800.0,5940565400.0,6140514800.0,4640442200.0,5320423600.0,5321066000.0,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,5941425325.0,5941425325.0,4641425325.0,4641425325.0,5321105325.0,5321105325.0,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,-291009525.0,-859925.0,-910525.0,-983125.0,-681725.0,-39325.0,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,-496400000.0,,-1782669988.0,-7569289389.0,-7410723720.0,-6956029764.0,-2475499036.0,,,,1500000000.0,,,,,,
III. Các khoản phải thu ngắn hạn,,,87192059345.0,183781078923.0,186287740393.0,224089084890.0,247196190205.0,269823747599.0,184620058748.0,165293079369.0,,427469602975.0,312367583720.0,538416800697.0,682107478877.0,648850563307.0,713344340492.0,,,
1. Phải thu ngắn hạn của khách hàng,,,,52958819249.0,171139370534.0,167277291613.0,233440770441.0,254451069478.0,163423320043.0,150915621845.0,,213652679013.0,216662635696.0,233447261965.0,374242393538.0,289813890951.0,346108400854.0,,,
2. Trả trước cho người bán ngắn hạn,,,,5644194138.0,14927561381.0,56572356130.0,9350334821.0,12257999802.0,14845332090.0,13509357939.0,,182431088318.0,71771725076.0,61989506686.0,14050961428.0,13584840653.0,19805026968.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,
