Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2021.0
I - TÀI SẢN NGẮN HẠN,,,2190031497000.0,1276831105000.0,5556562378000.0,5556562378000.0,2246535633970.0,2082805703396.0,2146895299960.0,2702681445763.0,2851856724349.0,,,
1. Tiền và các khoản tương đương tiền,,,436522408000.0,243572340000.0,632689173000.0,632689173000.0,287853414218.0,415493777269.0,710568300371.0,989814534602.0,846406560989.0,,,
2. Các khoản đầu tư tài chính ngắn hạn,,,443681156000.0,252229589000.0,1212383287000.0,1212383287000.0,316079274361.0,214651624667.0,106635225499.0,463228852339.0,376424556103.0,,,
3. Các khoản phải thu ngắn hạn,,,1299193504000.0,773915847000.0,3690154170000.0,3690154170000.0,1612395856668.0,1434279051087.0,1310949270672.0,1228143712503.0,1608514183566.0,,,
4. Hàng tồn kho,,,61667000.0,,109167000.0,109167000.0,69148064.0,82757064.0,204357004.0,259670876.0,302279407.0,,,
5. Tài sản ngắn hạn khác,,,10572762000.0,7113329000.0,21226581000.0,21226581000.0,30137940659.0,18298493309.0,18538146414.0,21234675443.0,20209144284.0,,,
II - TÀI SẢN DÀI HẠN,,,250338803000.0,665139032000.0,962850478000.0,962850478000.0,790268928985.0,691838446820.0,503191316571.0,361138952849.0,284277329995.0,,,
1. Các khoản phải thu dài hạn,,,,,,,,,,,,,,
2. Tài sản cố định,,,18016651000.0,30260739000.0,35383987000.0,35383987000.0,19811863568.0,15422062582.0,9182958305.0,6445370072.0,5485051982.0,,,
3. Lợi thế thương mại,,,,,,,,,,,,,,
4. Bất động sản đầu tư,,,,174413980000.0,,,,,,,,,,
5. Các khoản đầu tư tài chính dài hạn,,,230250000000.0,454818932000.0,868767546000.0,868767546000.0,651536376750.0,564739381750.0,400037164649.0,268013405181.0,194690894454.0,,,
6. Tài sản dài hạn khác,,,2072152000.0,5645381000.0,58698945000.0,58698945000.0,118920688667.0,111677002488.0,93971193617.0,86680177596.0,84101383559.0,,,
Tổng cộng tài sản,,,2440370300000.0,1941970137000.0,6519412856000.0,6519412856000.0,3036804562955.0,2774644150216.0,2650086616531.0,3063820398612.0,3136134054344.0,,,
I - NỢ PHẢI TRẢ,,,2049748726000.0,1501674133000.0,5125181578000.0,5125181578000.0,2239831890154.0,1966490279040.0,1426556777396.0,1759029172153.0,1827450305234.0,,,
1. Nợ ngắn hạn,,,1416313126000.0,930270993000.0,4956929963000.0,4956929963000.0,1571606890154.0,1351265279040.0,1411302377396.0,1758544886710.0,1460940029963.0,,,
2. Nợ dài hạn,,,633435600000.0,571403140000.0,168251615000.0,168251615000.0,668225000000.0,615225000000.0,15254400000.0,484285443.0,366510275271.0,,,
II - VỐN CHỦ SỞ HỮU,,,390621574000.0,440296004000.0,1394231278000.0,1394231278000.0,796972672801.0,808153871176.0,1223529839135.0,1304791226459.0,1308683749110.0,,,
1. Vốn chủ sở hữu,,,389397857000.0,439242249000.0,1394231278000.0,1394231278000.0,796972672801.0,808153871176.0,1223529839135.0,1304791226459.0,1308683749110.0,,,
2. Nguồn kinh phí và các quỹ khác,,,1223717000.0,1053755000.0,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ,,,,,,,,,,,,,,
Tổng cộng nguồn vốn,,,2440370300000.0,1941970137000.0,6519412856000.0,6519412856000.0,3036804562955.0,2774644150216.0,2650086616531.0,3063820398612.0,3136134054344.0,,,
