Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2021.0
I. TÀI SẢN,,,,,,,,,,,,,,
1. Tiền mặt và các khoản tương đương tại quỹ,,,,249417000000.0,,,,,,,,1868269000000.0,1996872000000.0,1524098000000.0
2. Tiền gửi tại NHNN,,,,499996000000.0,,,,,,,,1545647000000.0,3448104000000.0,3056674000000.0
"3. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",,,,15755248000000.0,,,,,,,,7562696000000.0,8602306000000.0,33441936000000.0
4. Cho vay khách hàng,,,,11124146000000.0,,,,,,,,34666848000000.0,35783876000000.0,99875801000000.0
5. Chứng khoán kinh doanh,,,,,,,,,,,,97043000000.0,65995000000.0,23487000000.0
6. Chứng khoán đầu tư,,,,3921402000000.0,,,,,,,,32501854000000.0,44901863000000.0,48226133000000.0
7. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,,,,,,,,,,
"8. Góp vốn, đầu tư dài hạn",,,,79368000000.0,,,,,,,,9251000000.0,9251000000.0,10036000000.0
9. Tài sản cố định,,,,219635000000.0,,,,,,,,648564000000.0,572458000000.0,311581000000.0
10. Bất động sản đầu tư,,,,,,,,,,,,895442000000.0,859030000000.0,
11. Tài sản Có khác,,,,776842000000.0,,,,,,,,12766355000000.0,15966366000000.0,17195677000000.0
Tổng tài sản,,,,32626054000000.0,,,,,,,,92605862000000.0,112238978000000.0,203665423000000.0
II. NGUỒN VỐN,,,,,,,,,,,,,,
1. Các khoản nợ Chính phủ và NHNN,,,,22491000000.0,,,,,,,,4386050000000.0,2019657000000.0,1017253000000.0
2. Tiền gửi và vay các TCTD khác,,,,14603271000000.0,,,,,,,,10536234000000.0,29534151000000.0,68035603000000.0
3. Tiền gửi của khách hàng,,,,14111556000000.0,,,,,,,,57586806000000.0,56848515000000.0,94616419000000.0
4. Các công cụ tài chính phái sinh và nợ tài chính khác,,,,5911000000.0,,,,,,,,51505000000.0,52724000000.0,76833000000.0
"5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,,,,,,,,,
6. Phát hành giấy tờ có giá,,,,1134177000000.0,,,,,,,,4218047000000.0,7348899000000.0,13042540000000.0
7. Các khoản nợ khác,,,,875274000000.0,,,,,,,,2227234000000.0,2713090000000.0,4838990000000.0
Tổng nợ phải trả,,,,30752680000000.0,,,,,,,,79005876000000.0,98517036000000.0,181627638000000.0
8. Vốn và các quỹ,,,,1873374000000.0,,,,,,,,13599986000000.0,13721942000000.0,22037785000000.0
9. Lợi ích của cổ đông thiểu số,,,,,,,,,,,,,,
Tổng cộng nguồn vốn,,,,32626054000000.0,,,,,,,,92605862000000.0,112238978000000.0,203665423000000.0
Các khoản mục ghi nhớ,,,,,,,,,,,,,,
1. Thư tín dụng trả ngay,,,,,,,,,,,,,,
2. Thư tín dụng trả chậm,,,,,,,,,,,,,,
3. Bảo lãnh thanh toán,,,,,,,,,,,,,,
4. Bảo lãnh vay vốn,,,,,,,,,,,,,,
5. Bảo lãnh khác,,,,,,,,,,,,,,
6. Cam kết cho vay chưa giải ngân,,,,,,,,,,,,,,
