Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,,,,,,,,,,,,69871751044.0,116107870924.0,96397271839.0,156821163815.0,996690723567.0,1038054597727.0,,,
I. Tiền và các khoản tương đương tiền,,,,,,,,,,,,6269397954.0,8679883961.0,2223264234.0,3839442570.0,6534730372.0,27952161919.0,,,
1. Tiền,,,,,,,,,,,,2769397954.0,5679883961.0,2223264234.0,3839442570.0,6534730372.0,13952161919.0,,,
2. Các khoản tương đương tiền,,,,,,,,,,,,3500000000.0,3000000000.0,,,,14000000000.0,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,,,,,,,,,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,,,,,,,,,
III. Các khoản phải thu ngắn hạn,,,,,,,,,,,,44095154635.0,65221146087.0,68532618034.0,64203351491.0,876936213871.0,956002087683.0,,,
1. Phải thu ngắn hạn của khách hàng,,,,,,,,,,,,23064856438.0,34986062356.0,19907518034.0,9438329473.0,253230654083.0,9522838395.0,,,
2. Trả trước cho người bán ngắn hạn,,,,,,,,,,,,6080920366.0,8500855567.0,40545100000.0,6350787746.0,555962985519.0,505916398422.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,
5. Phải thu về cho vay ngắn hạn,,,,,,,,,,,,9000000000.0,16400000000.0,8000000000.0,3800000000.0,6500000000.0,35300000000.0,,,
6. Phải thu ngắn hạn khác,,,,,,,,,,,,5949377831.0,5334228164.0,80000000.0,43862380947.0,61242574269.0,405431914836.0,,,
7. Dự phòng phải thu ngắn hạn khó đòi,,,,,,,,,,,,,,,,,-169063970.0,,,
8. Tài sản Thiếu chờ xử lý,,,,,,,,,,,,,,,751853325.0,,,,,
IV. Hàng tồn kho,,,,,,,,,,,,19507198455.0,41217974409.0,25596932052.0,88019583697.0,111543175891.0,52594376437.0,,,
1. Hàng tồn kho,,,,,,,,,,,,19507198455.0,41217974409.0,25596932052.0,88019583697.0,111543175891.0,52594376437.0,,,
2. Dự phòng giảm giá hàng tồn kho,,,,,,,,,,,,,,,,,,,,
