Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2021.0
I. TÀI SẢN,,,,,,,,,,,,,,
1. Tiền mặt và các khoản tương đương tại quỹ,930990700.0,23115175198.0,78541939762.0,137582673623.0,269588963886.0,780425865473.0,366339105883.0,200573563267.0,177721241239.0,220398025055.0,285712297485.0,281946000000.0,285896000000.0,242435000000.0
2. Tiền gửi tại NHNN,910036817.0,11151474378.0,811471144544.0,294329981152.0,303685414613.0,595699666111.0,958601222426.0,1290054348050.0,1080116284019.0,840907145366.0,1812435183917.0,1626960000000.0,2336309000000.0,1966518000000.0
"3. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",22925706438.0,,4079134807194.0,4200085434899.0,5227295698422.0,4111691449347.0,3058774078511.0,368391179509.0,4956952362625.0,6660441616989.0,6421902450952.0,11518329000000.0,9445182000000.0,3201164000000.0
4. Cho vay khách hàng,63242675300.0,353485770300.0,4357351033662.0,5452616707817.0,9864203180567.0,10638936137653.0,12755542449898.0,12667121730479.0,13266269639456.0,16445271447449.0,20222030678959.0,25061907000000.0,31751339000000.0,40923404000000.0
5. Chứng khoán kinh doanh,,,,,,,,,,,,,342618000000.0,
6. Chứng khoán đầu tư,,,,41311068316.0,2148859928797.0,1867069699410.0,1866937092570.0,2510202448554.0,3786178681170.0,5158793089638.0,10046019311339.0,19105820000000.0,15470182000000.0,10108282000000.0
7. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,,,252150065.0,252150065.0,3354992208.0,3407125092.0,,33755000000.0,,
"8. Góp vốn, đầu tư dài hạn",19977000000.0,98590601900.0,182210601900.0,326282000000.0,325915000000.0,539115000000.0,700126656630.0,745842944565.0,972542944565.0,966182944565.0,870049362772.0,862682000000.0,709682000000.0,654682000000.0
9. Tài sản cố định,3119490219.0,19295629521.0,59736972182.0,108682427858.0,107637259256.0,106570582824.0,139942787387.0,163437556031.0,1044268497431.0,1147556680752.0,1168506439503.0,1182576000000.0,1375382000000.0,708033000000.0
10. Bất động sản đầu tư,33754898818.0,212369685734.0,334627566763.0,344388291960.0,440277962080.0,1376877453200.0,,,,,,,,
11. Tài sản Có khác,,,,,,,2649531387671.0,3638172353488.0,3786951429923.0,5398535759454.0,7403346364572.0,9337032000000.0,10124975000000.0,15978167000000.0
Tổng tài sản,144860798292.0,1126544511677.0,9903074066007.0,10905278585625.0,18687463407621.0,20016385854018.0,22496046931041.0,21584048274008.0,29074356072636.0,36841493834360.0,48230002089499.0,69011009000000.0,71841565000000.0,73782685000000.0
II. NGUỒN VỐN,,,,,,,,,,,,,,
1. Các khoản nợ Chính phủ và NHNN,,,,,500000000000.0,160419214738.0,51238062951.0,732185695526.0,,,,1209304000000.0,,1778000000.0
2. Tiền gửi và vay các TCTD khác,408112515.0,40175056196.0,2885557411410.0,3402210419094.0,5325892497174.0,5308626322774.0,3475827963281.0,95632151146.0,5008553588509.0,8698793901245.0,9990947091975.0,20697013000000.0,15724536000000.0,609295000000.0
3. Tiền gửi của khách hàng,40007510931.0,549843470763.0,,6021861477895.0,9629727488024.0,10721301807605.0,14822282688737.0,12272866399410.0,18376936452995.0,24444783528038.0,34030972378659.0,41791705000000.0,45719622000000.0,64520093000000.0
4. Các công cụ tài chính phái sinh và nợ tài chính khác,,,6140134941232.0,,,,,,,,8050246061.0,,38895000000.0,39179000000.0
"5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,254363200000.0,374013700000.0,292408547137.0,96769845348.0,71653245348.0,113884075237.0,185439000000.0,218455000000.0,43684000000.0
6. Phát hành giấy tờ có giá,,,16100000.0,150239425750.0,1790597355866.0,689193033000.0,259697875200.0,4805692887702.0,2127182931198.0,,200097000000.0,918687000000.0,5399353000000.0,2013181000000.0
7. Các khoản nợ khác,1296369799.0,415248597.0,298337291110.0,254809603388.0,275207534062.0,860144069455.0,296985668088.0,201123042982.0,261375901042.0,414591539390.0,668725942271.0,980697000000.0,1522563000000.0,2291255000000.0
Tổng nợ phải trả,41711993245.0,590433775556.0,9324045743752.0,9829120926127.0,17521424875126.0,17994047647572.0,19280045958257.0,18399908723903.0,25870818719092.0,33629822214021.0,45012676734203.0,65782845000000.0,68623424000000.0,69518465000000.0
8. Vốn và các quỹ,103148805047.0,536110736121.0,579028322255.0,1076157659498.0,1166038532495.0,2022338206446.0,3216000972784.0,3184139550105.0,3203537353544.0,3211671620340.0,3217325355296.0,3228165000000.0,3218141000000.0,4264220000000.0
9. Lợi ích của cổ đông thiểu số,,,,,,,,,,,,,,
Tổng cộng nguồn vốn,144860798292.0,1126544511677.0,9903074066007.0,10905278585625.0,18687463407621.0,20016385854018.0,22496046931041.0,21584048274008.0,29074356072636.0,36841493834361.0,48230002089499.0,69011009000000.0,71841565000000.0,73782685000000.0
Các khoản mục ghi nhớ,,,,,,,,,,,,,,
1. Thư tín dụng trả ngay,,,,,,,,,,,,,,
2. Thư tín dụng trả chậm,,,,,,,,,,,,,,
3. Bảo lãnh thanh toán,,,,,,,,,,,,,,
4. Bảo lãnh vay vốn,,,,,,,,,,,,,,
5. Bảo lãnh khác,,,,,,,,,,,,,,
6. Cam kết cho vay chưa giải ngân,,,,,,,,,,,,,,
