Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2021.0
I. TÀI SẢN,,,,,,,,,,,,,,
1. Tiền mặt và các khoản tương đương tại quỹ,,,211012000000.0,164363000000.0,365083000000.0,1001829175799.0,408850987306.0,219701263581.0,158153653139.0,231804127096.0,265402823348.0,463412241843.0,648859156969.0,713556130605.0
2. Tiền gửi tại NHNN,,,246965000000.0,231737000000.0,228153000000.0,443610264785.0,961109813882.0,625088735922.0,399960587002.0,895558028492.0,1181602216659.0,1199607187123.0,3106795746709.0,3852855231576.0
"3. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",,,2743786000000.0,254149000000.0,1050383000000.0,4459043086163.0,3153820457905.0,2663740969730.0,3947754600979.0,1742613500000.0,6204891020740.0,4221401108721.0,10381315621138.0,22594539046752.0
4. Cho vay khách hàng,,,7515306000000.0,8527662000000.0,10109855000000.0,11479914543982.0,13671427611714.0,16927392721456.0,19973507106830.0,21159481486787.0,27832421360289.0,38175043759128.0,47778861069809.0,100934632861292.0
5. Chứng khoán kinh doanh,,,231842000000.0,77812000000.0,43758000000.0,51521265500.0,23265378000.0,1474300052800.0,363800050000.0,94740050000.0,-167868303548.0,,3288593200000.0,4565000020000.0
6. Chứng khoán đầu tư,,,169373000000.0,73660000000.0,68818000000.0,970921380800.0,4094519954486.0,3035459615550.0,5499945770860.0,9981745029678.0,11595014182071.0,14619496216821.0,16445929137260.0,40968392205017.0
7. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,2154000000.0,,,,,,2812224031243.0,,,34459675710.0,125806840360.0
"8. Góp vốn, đầu tư dài hạn",,,135427000000.0,203008000000.0,136209000000.0,176543085513.0,178669943162.0,149146875267.0,148144821247.0,135808992288.0,79988716904.0,57701836904.0,14736288513.0,
9. Tài sản cố định,,,244437000000.0,244657000000.0,259596000000.0,314685507897.0,380830571863.0,402504015370.0,460469975346.0,441784491362.0,215499666540.0,,527005924816.0,554723909013.0
10. Bất động sản đầu tư,,,,,,,,,,,,,,
11. Tài sản Có khác,,,256871000000.0,315500000000.0,424358000000.0,791588515340.0,2556998345541.0,1926803522866.0,1843471808033.0,1599151404648.0,2240237502157.0,224490032605.0,2073613631124.0,10180866774229.0
Tổng tài sản,,,11755019000000.0,10094702000000.0,12686213000000.0,19689656825779.0,25429493063859.0,27424137772542.0,32795208373436.0,39094911141594.0,49447189185160.0,63815087729633.0,84300169452048.0,184491035016344.0
II. NGUỒN VỐN,,,,,,,,,,,,,,
1. Các khoản nợ Chính phủ và NHNN,,,,,,1096575238164.0,944394882345.0,933294072739.0,,,740242748782.0,424781685200.0,335209877603.0,130606957051.0
2. Tiền gửi và vay các TCTD khác,,,4031907000000.0,1432651000000.0,1028986000000.0,4356915834389.0,6691346645238.0,6338825865175.0,8613885762886.0,10010238367814.0,13258679043147.0,11541720766331.0,16303630227401.0,32038024327577.0
3. Tiền gửi của khách hàng,,,5771744000000.0,6796187000000.0,8051896000000.0,8687241470977.0,9792946952809.0,15271370800028.0,19115649025223.0,23898896878537.0,29506294710206.0,43063985057813.0,53205792395177.0,98804612775544.0
4. Các công cụ tài chính phái sinh và nợ tài chính khác,,,,,5549000000.0,,790320000.0,65680000.0,3552136580.0,348476811.0,52366420000.0,8343449670.0,,
"5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,73225000000.0,33175000000.0,47783000000.0,91457002660.0,379420517722.0,658649207868.0,784145896782.0,775441807318.0,1146508060875.0,2131150305448.0,2645465792367.0,4996402838269.0
6. Phát hành giấy tờ có giá,,,,,917629000000.0,2100208414261.0,3442293940270.0,131266101373.0,222751507.0,,,996838495146.0,4361689265933.0,22628650000000.0
7. Các khoản nợ khác,,,223012000000.0,241601000000.0,303475000000.0,217421541402.0,426613634392.0,271089478564.0,312975308213.0,392266474631.0,517779265184.0,932590019251.0,1308985521577.0,4087728717548.0
Tổng nợ phải trả,,,10099888000000.0,8503614000000.0,10355318000000.0,16549819501853.0,21677806892776.0,23604561205747.0,28830430881191.0,35077192005111.0,45221870248194.0,59099409778859.0,78160773080058.0,162686025615989.0
8. Vốn và các quỹ,,,1655131000000.0,1591088000000.0,2330895000000.0,3139837323926.0,3751686171083.0,3819576566795.0,3964777492245.0,4017719136483.0,4225318936966.0,4715677950774.0,6139396371990.0,21805009400355.0
9. Lợi ích của cổ đông thiểu số,,,,,,,,,,,,,,
Tổng cộng nguồn vốn,,,11755019000000.0,10094702000000.0,12686213000000.0,19689656825779.0,25429493063859.0,27424137772542.0,32795208373436.0,39094911141594.0,49447189185160.0,63815087729633.0,84300169452048.0,184491035016344.0
Các khoản mục ghi nhớ,,,,,,,,,,,,,,
1. Thư tín dụng trả ngay,,,,,,,,,,,,,,
2. Thư tín dụng trả chậm,,,,,,,,,,,,,,
3. Bảo lãnh thanh toán,,,,,,,,,,,,,,
4. Bảo lãnh vay vốn,,,,,,,,,,,,,,
5. Bảo lãnh khác,,,,,,,,,,,,,,
6. Cam kết cho vay chưa giải ngân,,,,,,,,,,,,,,
