Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,80990582545.0,115264199662.0,152729840164.0,291468688086.0,301547645005.0,205386110206.0,183797593578.0,297339603654.0,410884761637.0,498415832709.0,,424076406630.0,423683716280.0,582281076283.0,248689319795.0,289250564783.0,310282150991.0,,,
I. Tiền và các khoản tương đương tiền,10136086623.0,27049771808.0,84783354929.0,140572984845.0,219279229179.0,5920148771.0,47470758050.0,178048247482.0,339638497004.0,275153556209.0,,24229101167.0,15155055207.0,79328695146.0,35685593416.0,110345444910.0,94607135889.0,,,
1. Tiền,10136086623.0,27049771808.0,84783354929.0,140572984845.0,62957137632.0,4120148771.0,16963270550.0,5959933352.0,262767108115.0,15726605053.0,,24229101167.0,15155055207.0,28268695146.0,14435593416.0,31845444910.0,24265135889.0,,,
2. Các khoản tương đương tiền,,,,,156322091547.0,1800000000.0,30507487500.0,172088314130.0,76871388889.0,259426951156.0,,,,51060000000.0,21250000000.0,78500000000.0,70342000000.0,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,113752073417.0,20900000000.0,93631262307.0,22199352746.0,25064066934.0,,112593354050.0,,353566645773.0,323577281448.0,408676500000.0,39459000000.0,15965000000.0,102122413699.0,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,,353566645773.0,323577281448.0,408676500000.0,39459000000.0,15965000000.0,102122413699.0,,,
III. Các khoản phải thu ngắn hạn,50402690659.0,56740677358.0,54385261640.0,23416184152.0,46978370995.0,82204437188.0,101138984566.0,80725128621.0,60720586285.0,102731998031.0,,39268987868.0,58759275036.0,90092415994.0,101178149291.0,116802763142.0,86910666338.0,,,
1. Phải thu ngắn hạn của khách hàng,,,52944427352.0,15198442710.0,12523481110.0,61456149920.0,25872977457.0,62794327166.0,26075817212.0,85575658324.0,,28243174142.0,50683766667.0,79632459686.0,98936256317.0,70123558601.0,82442235191.0,,,
2. Trả trước cho người bán ngắn hạn,11259007587.0,14709084482.0,,598039122.0,31542863733.0,17415534540.0,500780386.0,1151875519.0,2652862611.0,3277278006.0,,278666109.0,338210874.0,841277110.0,376599089.0,1761719217.0,405807882.0,,,
3. Phải thu nội bộ ngắn hạn,37159371937.0,39844708852.0,,,,,,,,,,,,,,,,,,
