Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2021.0
I. TÀI SẢN,,,,,,,,,,,,,,
1. Tiền mặt và các khoản tương đương tại quỹ,,,,,,,,65320769847.0,,,,815148000000.0,1176978000000.0,
2. Tiền gửi tại NHNN,,,,,,,,364312238382.0,,,,1362317000000.0,2364130000000.0,
"3. Tiền, vàng gửi tại các TCTD khác và cho vay các TCTD khác",,,,,,,,2188579540838.0,,,,23784661000000.0,22589779000000.0,
4. Cho vay khách hàng,,,,,,,,5990357682851.0,,,,46233626000000.0,62747997000000.0,
5. Chứng khoán kinh doanh,,,,,,,,21572710001.0,,,,,580054000000.0,
6. Chứng khoán đầu tư,,,,,,,,5453320269504.0,,,,29882518000000.0,25465002000000.0,
7. Các công cụ tài chính phái sinh và các tài sản tài chính khác,,,,,,,,,,,,29149000000.0,,
"8. Góp vốn, đầu tư dài hạn",,,,,,,,10000000000.0,,,,,,
9. Tài sản cố định,,,,,,,,69065687663.0,,,,144374000000.0,250772000000.0,
10. Bất động sản đầu tư,,,,,,,,,,,,,,
11. Tài sản Có khác,,,,,,,,957840783898.0,,,,2852686000000.0,8944035000000.0,
Tổng tài sản,,,,,,,,15120369682984.0,,,,105782009000000.0,124118747000000.0,
II. NGUỒN VỐN,,,,,,,,,,,,,,
1. Các khoản nợ Chính phủ và NHNN,,,,,,,,833787253030.0,,,,1500282000000.0,1082224000000.0,
2. Tiền gửi và vay các TCTD khác,,,,,,,,762944387317.0,,,,41245247000000.0,38261461000000.0,
3. Tiền gửi của khách hàng,,,,,,,,9269925440111.0,,,,55082028000000.0,70298586000000.0,
4. Các công cụ tài chính phái sinh và nợ tài chính khác,,,,,,,,7436054809.0,,,,,84351000000.0,
"5. Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",,,,,,,,,,,,1211925000000.0,2628210000000.0,
6. Phát hành giấy tờ có giá,,,,,,,,752248000000.0,,,,,3481154000000.0,
7. Các khoản nợ khác,,,,,,,,175021793493.0,,,,1061041000000.0,1606044000000.0,
Tổng nợ phải trả,,,,,,,,11801362928760.0,,,,100100523000000.0,117442030000000.0,
8. Vốn và các quỹ,,,,,,,,3319006754224.0,,,,5681486000000.0,6676717000000.0,
9. Lợi ích của cổ đông thiểu số,,,,,,,,,,,,,,
Tổng cộng nguồn vốn,,,,,,,,15120369682984.0,,,,105782009000000.0,124118747000000.0,
Các khoản mục ghi nhớ,,,,,,,,,,,,,,
1. Thư tín dụng trả ngay,,,,,,,,,,,,,,
2. Thư tín dụng trả chậm,,,,,,,,,,,,,,
3. Bảo lãnh thanh toán,,,,,,,,,,,,,,
4. Bảo lãnh vay vốn,,,,,,,,,,,,,,
5. Bảo lãnh khác,,,,,,,,,,,,,,
6. Cam kết cho vay chưa giải ngân,,,,,,,,,,,,,,
