Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
TÀI SẢN,,,,,,,,,,,,,,,,,,,,
A- TÀI SẢN NGẮN HẠN,,,,102599504493.0,108181158319.0,147847287209.0,142867008686.0,158264817082.0,167581747963.0,191252340025.0,177378220362.0,207382382520.0,225168581082.0,218725083270.0,230757904361.0,202306935898.0,207663131412.0,,,
I. Tiền và các khoản tương đương tiền,,,,17882259606.0,23791566792.0,15997069972.0,24946433456.0,23885713980.0,54815444779.0,89551261006.0,51134559843.0,79420409305.0,104218416418.0,86295430029.0,93001091226.0,73721708136.0,35993379842.0,,,
1. Tiền,,,,17882259606.0,23791566792.0,4465756372.0,4001225856.0,9814725580.0,42950536896.0,17115001839.0,34453357843.0,56798473305.0,63381328418.0,32295430029.0,41001091226.0,49721708136.0,10993379842.0,,,
2. Các khoản tương đương tiền,,,,,,11531313600.0,20945207600.0,14070988400.0,11864907883.0,72436259167.0,16681202000.0,22621936000.0,40837088000.0,54000000000.0,52000000000.0,24000000000.0,25000000000.0,,,
II. Các khoản đầu tư tài chính ngắn hạn,,,,,,,,,,14000000000.0,5990206666.0,817090000.0,13896190000.0,220790000.0,220790000.0,220790000.0,4220790000.0,,,
1. Chứng khoán kinh doanh,,,,,,,,,,,220790000.0,220790000.0,220790000.0,220790000.0,220790000.0,220790000.0,220790000.0,,,
2. Dự phòng giảm giá chứng khoán kinh doanh,,,,,,,,,,,,,,,,,,,,
3. Đầu tư nắm giữ đến ngày đáo hạn,,,,,,,,,,,5769416666.0,596300000.0,13675400000.0,,,,4000000000.0,,,
III. Các khoản phải thu ngắn hạn,,,,54488755093.0,45170283774.0,86810971442.0,81932580989.0,104987687099.0,84975824373.0,55398587827.0,90760175718.0,94186059111.0,74567387945.0,103862694345.0,117637852122.0,107741937407.0,145823027905.0,,,
1. Phải thu ngắn hạn của khách hàng,,,,50890627662.0,39041819003.0,80957676502.0,77949000621.0,105595111823.0,77014076277.0,46903840673.0,77855741514.0,74657841722.0,78501835757.0,99285092157.0,123249151424.0,117899150431.0,166140510254.0,,,
2. Trả trước cho người bán ngắn hạn,,,,5698583438.0,8823127987.0,9513983820.0,7164127500.0,5687128566.0,14724708915.0,14714500870.0,17558967880.0,18529695867.0,1455586993.0,2978058410.0,2041291800.0,1907731862.0,2150347853.0,,,
3. Phải thu nội bộ ngắn hạn,,,,,,,,,,,,,,,,,,,,
4. Phải thu theo tiến độ kế hoạch hợp đồng xây dựng,,,,,,,,,,,,,,,,,,,,
