Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2021.0
Thu nhập lãi ròng,514265000000.0,820572000000.0,1311106000000.0,2728257000000.0,2800528000000.0,4163770000000.0,6607558000000.0,6870928000000.0,4386413000000.0,4765633000000.0,5883527000000.0,6891889000000.0,8457754000000.0,18944792000000.0
Thu nhập lãi và các khoản thu nhập tương tự,1354980000000.0,2490616000000.0,4538134000000.0,10497846000000.0,9613889000000.0,14960336000000.0,25460938000000.0,22269055000000.0,15205073000000.0,13702832000000.0,14081792000000.0,16448249000000.0,20319639000000.0,33713810000000.0
Chi phí lãi và các khoản chi phí tương tự,840715000000.0,1670044000000.0,3227028000000.0,7769589000000.0,6813361000000.0,10796566000000.0,18853380000000.0,15398127000000.0,10818660000000.0,8937199000000.0,8198265000000.0,9556360000000.0,11861885000000.0,14769018000000.0
Lãi/lỗ ròng từ hoạt động dịch vụ,97208000000.0,148335000000.0,271215000000.0,606508000000.0,869636000000.0,826440000000.0,825532000000.0,702567000000.0,770420000000.0,694440000000.0,745226000000.0,944382000000.0,1188331000000.0,2893963000000.0
Thu nhập từ hoạt động dịch vụ,112807000000.0,172980000000.0,342592000000.0,680301000000.0,987982000000.0,967147000000.0,1138535000000.0,916595000000.0,996643000000.0,944682000000.0,1020989000000.0,1274131000000.0,1574668000000.0,4026460000000.0
Chi phí hoạt động dịch vụ,15599000000.0,24645000000.0,71377000000.0,73793000000.0,118346000000.0,140707000000.0,313003000000.0,214028000000.0,226223000000.0,250242000000.0,275763000000.0,329749000000.0,386337000000.0,1132497000000.0
Lãi/lỗ ròng từ hoạt động kinh doanh ngoại hối và vàng,14640000000.0,70320000000.0,155140000000.0,678852000000.0,422336000000.0,191104000000.0,-161467000000.0,-1863643000000.0,-77616000000.0,183634000000.0,120624000000.0,230096000000.0,236729000000.0,871556000000.0
Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,2626000000.0,31520000000.0,344990000000.0,-30067000000.0,20637000000.0,-19249000000.0,70924000000.0,251524000000.0,69992000000.0,110373000000.0,14544000000.0,72083000000.0,25305000000.0,449960000000.0
Lãi/ lỗ thuần từ mua bán chứng khoán đầu tư,30778000000.0,65757000000.0,896792000000.0,46291000000.0,551718000000.0,91030000000.0,82523000000.0,-273410000000.0,396395000000.0,230647000000.0,-807600000000.0,-885963000000.0,603079000000.0,244051000000.0
Lãi thuần từ hoạt động khác,28137000000.0,15597000000.0,4926000000.0,37356000000.0,155189000000.0,49970000000.0,-1181000000.0,1716000000.0,31801000000.0,49059000000.0,242483000000.0,285204000000.0,891642000000.0,139463000000.0
Thu nhập hoạt động khác,28137000000.0,118964000000.0,90817000000.0,38486000000.0,187587000000.0,176794000000.0,203147000000.0,97849000000.0,76739000000.0,106598000000.0,275511000000.0,296285000000.0,952439000000.0,703159000000.0
Chi phí hoạt động khác,,103367000000.0,85891000000.0,1130000000.0,32398000000.0,126824000000.0,204328000000.0,96133000000.0,44938000000.0,57539000000.0,33028000000.0,11081000000.0,60797000000.0,563696000000.0
"Thu nhập từ góp vốn, mua cổ phần",1201000000.0,38139000000.0,36653000000.0,172279000000.0,115026000000.0,186613000000.0,222646000000.0,145046000000.0,72182000000.0,22511000000.0,21485000000.0,24811000000.0,36069000000.0,20212000000.0
Tổng thu nhập kinh doanh,688855000000.0,1190240000000.0,3020822000000.0,4239476000000.0,4935070000000.0,5489678000000.0,7646535000000.0,5834728000000.0,5649587000000.0,6056297000000.0,6220289000000.0,7562502000000.0,11438909000000.0,23563997000000.0
"Lãi/ lỗ trong công ty liên kết, liên doanh",,,,,,,,,,,,,,
Chi phí hoạt động,291313000000.0,462424000000.0,804650000000.0,1590903000000.0,1809462000000.0,2160020000000.0,3147466000000.0,4270661000000.0,3759397000000.0,3863607000000.0,4021683000000.0,4677889000000.0,6217359000000.0,8229776000000.0
Chi phí nhân viên,,,,,,,,,,,,,,
Chi phí khấu hao,,,,,,,,,,,,,,
Chi phí hoạt động khác,,,,,,,,,,,,,,
Lợi nhuận ròng từ hoạt động kinh doanh trước chi phí dự phòng,397542000000.0,727816000000.0,2216172000000.0,2648573000000.0,3125608000000.0,3329658000000.0,4499069000000.0,1564067000000.0,1890190000000.0,2192690000000.0,2198606000000.0,2884613000000.0,5221550000000.0,15334221000000.0
Chi phí dự phòng,5992000000.0,,,87993000000.0,,,,,,,,,,
Chi phí dự phòng rủi ro tín dụng,,40597000000.0,89357000000.0,,287444000000.0,227410000000.0,296376000000.0,521391000000.0,854630000000.0,977289000000.0,884455000000.0,1217587000000.0,2565343000000.0,3336109000000.0
Các khoản xử lý theo đề tài cấu trúc Ngân hàng,,,,,,,,,,,,,,
Dự phòng chung cho các khoản cam kết và nợ tiềm tàng,,,,,,,,,,,,,,
Dự phòng giảm giá chứng khoán,,,,,,,,,,,,,,
Thu hồi nợ đã xử lý bằng nguồn dự phòng,,,,,,,,,,,,,,
Tổng lợi nhuận kế toán,391550000000.0,687219000000.0,2126815000000.0,2560580000000.0,2838164000000.0,3102248000000.0,4202693000000.0,1042676000000.0,1035560000000.0,1215401000000.0,1314151000000.0,1667026000000.0,2656207000000.0,11998112000000.0
Thu nhập từ các khoản nợ khó đòi,,,,,,,,,,,,,,
Lợi nhuận được hưởng từ các công ty liên kết và liên doanh,,,,,,,,,,,,,,
Tổng lợi nhuận trước thuế,391550000000.0,687219000000.0,2126815000000.0,2560580000000.0,2838164000000.0,3102248000000.0,4202693000000.0,1042676000000.0,1035560000000.0,1215401000000.0,1314151000000.0,1667026000000.0,2656207000000.0,11998112000000.0
Chi phí thuế TNDN,92349000000.0,181643000000.0,366807000000.0,349898000000.0,665075000000.0,744589000000.0,997531000000.0,255957000000.0,201214000000.0,-271093000000.0,283828000000.0,338590000000.0,556141000000.0,2389079000000.0
Chi phí thuế hiện hành,,,,,,,,,,,,,,
Chi phí thuế hoãn lại,,,,,-28115000000.0,22865000000.0,-2679000000.0,2679000000.0,7853000000.0,534692000000.0,2091000000.0,3262000000.0,-18065000000.0,6287000000.0
Lợi nhuận sau thuế,299201000000.0,505576000000.0,1760008000000.0,2210682000000.0,2201204000000.0,2334794000000.0,3207841000000.0,784040000000.0,826493000000.0,951802000000.0,1028232000000.0,1325174000000.0,2118131000000.0,9602746000000.0
Lợi ích của cổ đông thiểu số,,148000000.0,-215000000.0,,,,,,,,,,,
Lợi nhuận sau thuế của cổ đông công ty mẹ,299201000000.0,505428000000.0,1760223000000.0,2210682000000.0,2201204000000.0,2334794000000.0,3207841000000.0,784040000000.0,826493000000.0,951802000000.0,1028232000000.0,1325174000000.0,2118131000000.0,9602746000000.0
Lãi cơ bản trên cổ phiếu,,4527.0,8095.0,3628.0,3042.0,2861.0,3280.0,666.0,868.0,1021.0,1136.0,1293.0,1996.0,3498.0
Lãi suy giảm trên cổ phiếu,,,,,,,,,,,,,,
