Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
1. Doanh thu bán hàng và cung cấp dịch vụ,,,,,,,,,,,,9384313539225.0,11152716360693.0,11498922699071.0,12584361969826.0,12768778189832.0,13059307162962.0,,,
2. Các khoản giảm trừ doanh thu,,,,,,,,,,,,,,,,,,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),,,,,,,,,,,,9384313539225.0,11152716360693.0,11498922699071.0,12584361969826.0,12768778189832.0,13059307162962.0,,,
4. Giá vốn hàng bán,,,,,,,,,,,,8029361500407.0,9411383805630.0,9557335156474.0,10833202234462.0,11021487992022.0,11571698306466.0,,,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),,,,,,,,,,,,1354952038818.0,1741332555063.0,1941587542597.0,1751159735364.0,1747290197810.0,1487608856496.0,,,
6. Doanh thu hoạt động tài chính,,,,,,,,,,,,43811644431.0,71931196768.0,26549529742.0,46773611905.0,279236708110.0,421621115613.0,,,
7. Chi phí tài chính,,,,,,,,,,,,641506277922.0,919234250913.0,1168358031777.0,917121632382.0,1010718231362.0,718026280932.0,,,
- Trong đó: Chi phí lãi vay,,,,,,,,,,,,846531743267.0,837653420264.0,767045391538.0,656730884623.0,511976325877.0,381297834324.0,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,,,,,,,
9. Chi phí bán hàng,,,,,,,,,,,,2015565664.0,2348151589.0,2498619271.0,2894025005.0,2197216586.0,2579519376.0,,,
10. Chi phí quản lý doanh nghiệp,,,,,,,,,,,,203511574146.0,215044985803.0,218110171379.0,294122390114.0,304733502381.0,300424274544.0,,,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},,,,,,,,,,,,551730265517.0,676636363526.0,579170249912.0,583795299768.0,708877955591.0,888199897257.0,,,
12. Thu nhập khác,,,,,,,,,,,,808218691.0,8210485030.0,12897948883.0,23728438048.0,1430435496.0,80241228229.0,,,
13. Chi phí khác,,,,,,,,,,,,13780375313.0,2330932808.0,8439724627.0,7597350583.0,11731429118.0,3642547150.0,,,
14. Lợi nhuận khác(40=31-32),,,,,,,,,,,,-12972156622.0,5879552222.0,4458224256.0,16131087465.0,-10300993622.0,76598681079.0,,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),,,,,,,,,,,,538758108895.0,682515915748.0,583628474168.0,599926387233.0,698576961969.0,964798578336.0,,,
16. Chi phí thuế TNDN hiện hành,,,,,,,,,,,,,,46820100682.0,147397969271.0,185597469924.0,65869644398.0,,,
17. Chi phí thuế TNDN hoãn lại,,,,,,,,,,,,24944730756.0,4554055224.0,73867428541.0,-110434894390.0,-73085802832.0,-8341875242.0,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),,,,,,,,,,,,513813378139.0,677961860524.0,462940944945.0,562963312352.0,586065294877.0,907270809180.0,,,
19. Lợi nhuận sau thuế công ty mẹ,,,,,,,,,,,,42455174533.0,688100028672.0,498660422552.0,561499847259.0,510029749631.0,908446522624.0,,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,471358203606.0,-10138168148.0,-35719477607.0,1463465093.0,76035545246.0,-1175713444.0,,,
21. Lãi cơ bản trên cổ phiếu(*),,,,,,,,,,,,693.0,1012.0,733.0,826.0,750.0,1336.0,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,,,,,,,,,
