Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2021.0
Thu nhập lãi ròng,,,,114195000000.0,,,,,,,3244710000000.0,4678080000000.0,6347300000000.0,13890777000000.0
Thu nhập lãi và các khoản thu nhập tương tự,,,,1084874000000.0,,,,,,,7922478000000.0,11321302000000.0,14959081000000.0,26176210000000.0
Chi phí lãi và các khoản chi phí tương tự,,,,970679000000.0,,,,,,,4677768000000.0,6643222000000.0,8611781000000.0,12285433000000.0
Lãi/lỗ ròng từ hoạt động dịch vụ,,,,72846000000.0,,,,,,,188107000000.0,118224000000.0,196433000000.0,1927438000000.0
Thu nhập từ hoạt động dịch vụ,,,,80024000000.0,,,,,,,234104000000.0,167320000000.0,268640000000.0,2127733000000.0
Chi phí hoạt động dịch vụ,,,,7178000000.0,,,,,,,45997000000.0,49096000000.0,72207000000.0,200295000000.0
Lãi/lỗ ròng từ hoạt động kinh doanh ngoại hối và vàng,,,,15723000000.0,,,,,,,25761000000.0,209284000000.0,157437000000.0,179248000000.0
Lãi/lỗ thuần từ mua bán chứng khoán kinh doanh,,,,7375000000.0,,,,,,,-4238000000.0,82503000000.0,5708000000.0,100932000000.0
Lãi/ lỗ thuần từ mua bán chứng khoán đầu tư,,,,-5679000000.0,,,,,,,48787000000.0,151159000000.0,484895000000.0,477213000000.0
Lãi thuần từ hoạt động khác,,,,859000000.0,,,,,,,19571000000.0,166691000000.0,270165000000.0,182637000000.0
Thu nhập hoạt động khác,,,,1024000000.0,,,,,,,78663000000.0,195119000000.0,299104000000.0,496275000000.0
Chi phí hoạt động khác,,,,165000000.0,,,,,,,59092000000.0,28428000000.0,28939000000.0,313638000000.0
"Thu nhập từ góp vốn, mua cổ phần",,,,9084000000.0,,,,,,,609939000000.0,12285000000.0,43881000000.0,
Tổng thu nhập kinh doanh,,,,214403000000.0,,,,,,,4132637000000.0,5418226000000.0,7505819000000.0,16758245000000.0
"Lãi/ lỗ trong công ty liên kết, liên doanh",,,,,,,,,,,,,,
Chi phí hoạt động,,,,131995000000.0,,,,,,,2409584000000.0,3276988000000.0,,
Chi phí nhân viên,,,,68380000000.0,,,,,,,,,2003352000000.0,3789826000000.0
Chi phí khấu hao,,,,7141000000.0,,,,,,,,,104447000000.0,143528000000.0
Chi phí hoạt động khác,,,,56474000000.0,,,,,,,,,1964478000000.0,2449414000000.0
Lợi nhuận ròng từ hoạt động kinh doanh trước chi phí dự phòng,,,,82408000000.0,,,,,,,1723053000000.0,2141238000000.0,3433542000000.0,10375477000000.0
Chi phí dự phòng,,,,,,,,,,,,,,
Chi phí dự phòng rủi ro tín dụng,,,,2133000000.0,,,,,,,934619000000.0,993605000000.0,1016760000000.0,2305860000000.0
Các khoản xử lý theo đề tài cấu trúc Ngân hàng,,,,,,,,,,,,,,
Dự phòng chung cho các khoản cam kết và nợ tiềm tàng,,,,,,,,,,,,,,
Dự phòng giảm giá chứng khoán,,,,,,,,,,,,,,
Thu hồi nợ đã xử lý bằng nguồn dự phòng,,,,,,,,,,,,,,
Tổng lợi nhuận kế toán,,,,80275000000.0,,,,,,,788434000000.0,1147633000000.0,2416782000000.0,8069617000000.0
Thu nhập từ các khoản nợ khó đòi,,,,,,,,,,,,,,
Lợi nhuận được hưởng từ các công ty liên kết và liên doanh,,,,,,,,,,,,,,
Tổng lợi nhuận trước thuế,,,,80275000000.0,,,,,,,788434000000.0,1147633000000.0,2416782000000.0,8069617000000.0
Chi phí thuế TNDN,,,,20741000000.0,,,,,,,160328000000.0,226810000000.0,466302000000.0,1620180000000.0
Chi phí thuế hiện hành,,,,,,,,,,,,,,
Chi phí thuế hoãn lại,,,,-410000000.0,,,,,,,-2005000000.0,6325000000.0,-3927000000.0,-4062000000.0
Lợi nhuận sau thuế,,,,59944000000.0,,,,,,,630111000000.0,914498000000.0,1954407000000.0,6453499000000.0
Lợi ích của cổ đông thiểu số,,,,,,,,,,,117074000000.0,176366000000.0,207920000000.0,
Lợi nhuận sau thuế của cổ đông công ty mẹ,,,,59944000000.0,,,,,,,513037000000.0,738132000000.0,1746487000000.0,6453499000000.0
Lãi cơ bản trên cổ phiếu,,,,,,,,,,,633.0,911.0,1966.0,3039.0
Lãi suy giảm trên cổ phiếu,,,,,,,,,,,,,,
