Trước Sau,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
1. Doanh thu bán hàng và cung cấp dịch vụ,749773986199.0,1111533974419.0,2022057549712.0,2059339484828.0,2836386675588.0,4912610384192.0,8179487707829.0,10110988306667.0,11772644300807.0,15005074576304.0,,18006498541322.0,26336984183123.0,34570344557164.0,28081303783088.0,27765155626306.0,48987333712285.0,,,
2. Các khoản giảm trừ doanh thu,,337434194.0,6366498531.0,4294165040.0,4967409587.0,13429851006.0,13501096775.0,23032075122.0,12745708265.0,14713596230.0,,112783060369.0,187939347844.0,128915208903.0,46528664413.0,234406112472.0,260811478549.0,,,
3. Doanh thu thuần về bán hàng và cung cấp dịch vụ (10 = 01 - 02),749773986199.0,1111196540225.0,2015691051181.0,2055045319788.0,2831419266001.0,4899180533186.0,8165986611054.0,10087956231545.0,11759898592542.0,14990360980074.0,,17893715480953.0,26149044835279.0,34441429348261.0,28034775118675.0,27530749513834.0,48726522233736.0,,,
4. Giá vốn hàng bán,682224512274.0,925430846064.0,1664936507006.0,1553515439407.0,2276099635609.0,3968224548046.0,7110055086800.0,8682822005970.0,10052386178283.0,13240125281029.0,,13717393786963.0,21730791206018.0,30464290088385.0,24836155036672.0,22903482165423.0,39853124052753.0,,,
5. Lợi nhuận gộp về bán hàng và cung cấp dịch vụ(20=10-11),67549473925.0,185765694161.0,350754544175.0,501529880381.0,555319630392.0,930955985140.0,1055931524254.0,1405134225575.0,1707512414259.0,1750235699045.0,,4176321693990.0,4418253629261.0,3977139259876.0,3198620082003.0,4627267348411.0,8873398180983.0,,,
6. Doanh thu hoạt động tài chính,466453741.0,479800993.0,28374392265.0,6316251344.0,14227334928.0,24103464903.0,48951041047.0,48591843754.0,39687232366.0,30490606576.0,,38428728972.0,53912840001.0,179498893481.0,63164230629.0,77984494109.0,366296112404.0,,,
7. Chi phí tài chính,15368672917.0,20130688853.0,69593240626.0,,,,,340390787401.0,167862447942.0,183558980466.0,,255684384136.0,589176690666.0,970732705902.0,802634741872.0,645261573177.0,552008300634.0,,,
- Trong đó: Chi phí lãi vay,15368672917.0,20130688853.0,69593240626.0,,,,,340390787401.0,167862447942.0,183558980466.0,,-209035437498.0,482275637847.0,811669226449.0,745960164920.0,560086135926.0,355048548813.0,,,
"8. Phần lãi lỗ trong công ty liên doanh, liên kết",,,,,,,,,,,,,,514000092.0,,,,,,
9. Chi phí bán hàng,13149142844.0,23073982620.0,64494272767.0,92576417108.0,116342381073.0,209477229128.0,308909934516.0,386396571842.0,491346997958.0,672774723079.0,,1139602275640.0,1512517323076.0,1816042397184.0,1748882841240.0,2221083074110.0,3344487236554.0,,,
10. Chi phí quản lý doanh nghiệp,18230807955.0,35513818402.0,70842743879.0,83990906390.0,98116034240.0,148691601966.0,189005431707.0,261226742015.0,350540024416.0,393176046163.0,,900715660702.0,801479758048.0,895579880506.0,470700688884.0,459978781905.0,425816363938.0,,,
11. Lợi nhuận thuần từ hoạt động kinh doanh{30=20+(21-22) + 24 - (25+26)},19107182617.0,104555062221.0,171293595538.0,215705527742.0,188685517884.0,224017420300.0,148991480419.0,396860854986.0,658727883154.0,458412130263.0,,1918748102484.0,1568992697472.0,474797169857.0,239566040636.0,1378928413328.0,4917382392261.0,,,
12. Thu nhập khác,2299650678.0,5979664664.0,225507455072.0,12116326542.0,14087152639.0,37905553460.0,19484318511.0,31785941720.0,37177802534.0,96439652562.0,,12438447274.0,78166099473.0,56900222229.0,253166267295.0,28617237724.0,14708414685.0,,,
13. Chi phí khác,1959507515.0,1643145479.0,229282886416.0,15392907571.0,2383051288.0,10021297310.0,,17090439659.0,16908741004.0,31462908658.0,,24436799077.0,4519323205.0,2512931184.0,30663011810.0,31902487528.0,16607736066.0,,,
14. Lợi nhuận khác(40=31-32),340143163.0,4336519185.0,-3775431344.0,-3276581029.0,11704101351.0,27884256150.0,19484318511.0,14695502061.0,20269061530.0,64976743904.0,,-11998351803.0,73646776268.0,54387291045.0,222503255485.0,-3285249804.0,-1899321381.0,,,
15. Tổng lợi nhuận kế toán trước thuế(50=30+40),19447325780.0,108891581406.0,167518164194.0,212428946713.0,200389619235.0,251901676450.0,168475798930.0,411556357047.0,678996944684.0,523388874167.0,,1906749750681.0,1642639473740.0,529184460902.0,462069296121.0,1375643163524.0,4915483070880.0,,,
16. Chi phí thuế TNDN hiện hành,,,16395308664.0,17816097391.0,7351204479.0,38773640483.0,11195790606.0,43377160455.0,106636699375.0,128234861960.0,,437894050149.0,281166867134.0,95720855600.0,102045530564.0,259835557336.0,702566164265.0,,,
17. Chi phí thuế TNDN hoãn lại,,4309946211.0,,-3758570283.0,3587013424.0,-2251175546.0,-2888366577.0,75828704.0,-8479404568.0,-15188354027.0,,-35333822795.0,29823152049.0,24297904363.0,-1347738189.0,-37206411121.0,-100577155644.0,,,
18. Lợi nhuận sau thuế thu nhập doanh nghiệp(60=50-51-52),19447325780.0,104581635195.0,151122855530.0,198371419605.0,189451401332.0,215379211513.0,160168374901.0,368103367888.0,580839649877.0,410342366234.0,,1504189523327.0,1331649454557.0,409165700939.0,361371503746.0,1153014017309.0,4313494062259.0,,,
19. Lợi nhuận sau thuế công ty mẹ,19447325780.0,104581635195.0,151122855530.0,198371419605.0,189451401332.0,215379211513.0,160168374901.0,368103367888.0,580839649877.0,410342366234.0,,1504193443099.0,1331663912171.0,409234037922.0,361352133015.0,1153328313935.0,4313507233783.0,,,
20. Lợi nhuận sau thuế công ty mẹ không kiểm soát,,,,,,,,,,,,-3919772.0,-14457614.0,-68336983.0,19370731.0,-314296626.0,-13171524.0,,,
21. Lãi cơ bản trên cổ phiếu(*),,,,3478.0,3323.0,2241.0,1622.0,3761.0,5941.0,4261.0,,7350.0,3672.0,1090.0,820.0,2492.0,8465.0,,,
22. Lãi suy giảm trên cổ phiếu (*),,,,,,,,,,,,7350.0,3672.0,,,,,,,
